order,node_index,node_name,mesh_index,mesh_name,inference_mode,group_id,group_size,predicted_label,predicted_class,confidence,second_label,second_class,second_confidence,vertex_count,face_count,surface_area,mesh_volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_size_x,bbox_size_y,bbox_size_z,bbox_diagonal,bbox_volume,obb_size_long,obb_size_mid,obb_size_short,elongation,flatness,compactness,shape_hint,centroid_x,centroid_y,centroid_z
3404,3403,Mesh.3403,3403,Mesh_1047.005,mesh,mesh_3404,1,0,screws_bolts_studs,0.8078901171684265,7,pipe_fittings_valves_nozzles,0.020244892686605453,1994,1970,0.003370177699252963,,-0.47473081946372986,0.7445000410079956,-4.607729911804199,-0.4552692472934723,0.799500048160553,-4.5882344245910645,0.01946157217025757,0.05500000715255737,0.019495487213134766,0.061512824677436226,2.0867708440373614e-05,0.05500000715255737,0.019495487213134766,0.01946157217025757,2.8211660755778403,0.35384672071542905,0.08965566768383848,irregular,-0.4649637043476105,0.7943742275238037,-4.597992897033691
3405,3404,Mesh.3404,3404,Mesh_1046.005,mesh,mesh_3405,1,9,wheels_castors,0.6526492834091187,4,bearings_bushings_guides,0.07033409923315048,1176,1600,0.018196668475866318,,-0.34062641859054565,-0.14182983338832855,-4.468015193939209,-0.26099658012390137,-0.06717018038034439,-4.396123886108398,0.07962983846664429,0.07465965300798416,0.07189130783081055,0.1307032329482359,0.0004274036101082935,0.07962983846664429,0.07465965300798416,0.07189130783081055,1.0665712370526101,0.9028187073483103,0.19141642293432617,compact_block,-0.3008114695549011,-0.10450004041194916,-4.432067394256592
3406,3405,Mesh.3405,3405,Mesh_1045.005,mesh,mesh_3406,1,8,joints_clamps_structural_connectors,0.9174859523773193,12,handles_controls,0.00893343798816204,520,402,0.005887418054044247,,-0.3247961401939392,-0.11700001358985901,-4.4398112297058105,-0.2419116497039795,-0.05575001239776611,-4.381996154785156,0.08288449048995972,0.061250001192092896,0.0578150749206543,0.11816930353476944,0.0002935083536430104,0.08288449048995972,0.061250001192092896,0.0578150749206543,1.353216144927353,0.6975379178769009,0.17787152914895632,compact_block,-0.29242584109306335,-0.08772262185811996,-4.411163806915283
3407,3406,Mesh.3406,3406,Mesh_1044.005,mesh,mesh_3407,1,10,rotating_fluid_machinery,0.1555110365152359,12,handles_controls,0.14452818036079407,1808,2080,0.018722515553236008,,-0.3280000686645508,-0.05019998550415039,-4.489982604980469,-0.2380000352859497,-0.03599998727440834,-4.399982452392578,0.09000003337860107,0.01419999822974205,0.09000015258789062,0.1280690182039262,0.00011502022332612969,0.09000015258789062,0.09000003337860107,0.01419999822974205,1.0000013245471704,0.157777490608973,0.05475729248605804,irregular,-0.2830003499984741,-0.04144514724612236,-4.444981575012207
3408,3407,Mesh.3407,3407,Mesh_1043.005,mesh,mesh_3408,1,11,plates_discs_shapes,0.43696141242980957,5,gears_pulleys_chains,0.13307063281536102,156,148,0.005720493383705616,,-0.3122211694717407,-0.052199989557266235,-4.474221229553223,-0.25377893447875977,-0.05019998550415039,-4.415743827819824,0.05844223499298096,0.0020000040531158447,0.05847740173339844,0.08269885948836633,6.83511395949072e-06,0.05847740173339844,0.05844223499298096,0.0020000040531158447,1.0006017350366854,0.03420131527447079,0.012085015152504737,flat_plate,-0.2830001413822174,-0.05119998753070831,-4.44498348236084
3409,3408,Mesh.3408,3408,Mesh_1042.005,mesh,mesh_3409,1,6,motors_gearmotors,0.23719151318073273,12,handles_controls,0.14974097907543182,468,452,0.0022480767220258713,,-0.31803590059280396,-0.11197439581155777,-4.451854705810547,-0.28358691930770874,-0.09702562540769577,-4.412284851074219,0.034448981285095215,0.014948770403862,0.039569854736328125,0.054552465132405616,2.037728460658532e-05,0.039569854736328125,0.034448981285095215,0.014948770403862,1.1486509400337048,0.3777817862479514,0.12551717903902646,round_or_cubic,-0.3008113205432892,-0.10450000315904617,-4.432071208953857
3410,3409,Mesh.3409,3409,Mesh_1041.005,mesh,mesh_3410,1,12,handles_controls,0.2234620302915573,8,joints_clamps_structural_connectors,0.20526063442230225,1142,1162,0.02079000510275364,,-0.3264319896697998,-0.11949999630451202,-4.473982334136963,-0.2540007531642914,-0.052199989557266235,-4.404660701751709,0.07243123650550842,0.06730000674724579,0.0693216323852539,0.12075207512275932,0.0003379168032097061,0.07243123650550842,0.0693216323852539,0.06730000674724579,1.044857629765164,0.9291572254482718,0.1919225385939443,compact_block,-0.2981334626674652,-0.09326579421758652,-4.4420061111450195
3411,3410,Mesh.3410,3410,Mesh_1040.005,mesh,mesh_3411,1,11,plates_discs_shapes,0.807334840297699,8,joints_clamps_structural_connectors,0.020374726504087448,2276,2220,0.09427100419998169,,-0.4150000214576721,-0.03599998727440834,-4.512982368469238,-0.2149999737739563,-0.020999986678361893,-4.312982082366943,0.20000004768371582,0.015000000596046448,0.20000028610229492,0.28324041648813086,0.0006000010252001346,0.20000028610229492,0.20000004768371582,0.015000000596046448,1.0000011920926113,0.07499989569202085,0.02640500897801862,flat_plate,-0.32499077916145325,-0.028486527502536774,-4.402992248535156
3412,3411,Mesh.3411,3411,Mesh_104.014,mesh,mesh_3412,1,4,bearings_bushings_guides,0.18096671998500824,0,screws_bolts_studs,0.16967079043388367,136,132,0.0001628696045372635,,0.6200082898139954,0.7780002355575562,-4.7264838218688965,0.624991238117218,0.788000226020813,-4.7214837074279785,0.004982948303222656,0.009999990463256836,0.005000114440917969,0.012240536241525272,2.4915288008198373e-07,0.009999990463256836,0.005000114440917969,0.004982948303222656,1.9999523173755485,0.4982953055337005,0.13585154425391407,irregular,0.6224997639656067,0.785059928894043,-4.723982334136963
3413,3412,Mesh.3412,3412,Mesh_1039.005,mesh,mesh_3413,1,0,screws_bolts_studs,0.673691987991333,11,plates_discs_shapes,0.0865330919623375,711,704,0.020605776458978653,,-0.384988933801651,-0.14100000262260437,-4.402957439422607,-0.32501116394996643,0.07000000774860382,-4.343007564544678,0.05997776985168457,0.2110000103712082,0.05994987487792969,0.22740344049928318,0.0007586842546832103,0.2110000103712082,0.05997776985168457,0.05994987487792969,3.517970256196212,0.2841226157878431,0.06451637801575733,long_slender,-0.354990154504776,-0.07931981235742569,-4.373014450073242
3414,3413,Mesh.3413,3413,Mesh_1038.005,mesh,mesh_3414,1,1,nuts,0.769096851348877,2,washers_rings_spacers,0.024710508063435555,400,364,0.003528129542246461,,-0.37066152691841125,-0.051999982446432114,-4.390244483947754,-0.3393385708332062,-0.035999976098537445,-4.355720520019531,0.03132295608520508,0.01600000634789467,0.034523963928222656,0.049285209407748026,1.7302288560741116e-05,0.034523963928222656,0.03132295608520508,0.01600000634789467,1.1021936701730883,0.46344638701278973,0.14452857883449877,round_or_cubic,-0.35499995946884155,-0.04491538926959038,-4.372981071472168
3415,3414,Mesh.3414,3414,Mesh_1037.005,mesh,mesh_3415,1,11,plates_discs_shapes,0.6355153322219849,8,joints_clamps_structural_connectors,0.09199859201908112,1760,1724,0.09651754796504974,,0.07499998807907104,0.3150000274181366,-4.862982273101807,0.08000002056360245,0.7920000553131104,-4.767982006072998,0.005000032484531403,0.47700002789497375,0.0950002670288086,0.4863939531616291,0.0002265771221546225,0.47700002789497375,0.0950002670288086,0.005000032484531403,5.021038811925915,0.010482247782241877,0.0019690264717719666,flat_plate,0.07735515385866165,0.5332249999046326,-4.810915470123291
3416,3415,Mesh.3415,3415,Mesh_1036.005,mesh,mesh_3416,1,12,handles_controls,0.7236438393592834,6,motors_gearmotors,0.044947300106287,7777,7052,0.0026154876686632633,,-0.010902880690991879,0.8240000605583191,-4.870498180389404,0.038947943598032,0.8352000713348389,-4.835977554321289,0.049850824289023876,0.011200010776519775,0.034520626068115234,0.06166213220302984,1.9273893187164838e-05,0.049850824289023876,0.034520626068115234,0.011200010776519775,1.4440880704382208,0.22467052323116324,0.08220795289890112,irregular,0.005908053368330002,0.8317348957061768,-4.856899738311768
3417,3416,Mesh.3416,3416,Mesh_1035.005,mesh,mesh_3417,1,3,pins_rivets_keys,0.30244627594947815,11,plates_discs_shapes,0.1780596375465393,2235,1740,0.40285611152648926,,-0.3739999532699585,-0.00980007741600275,-4.820981979370117,0.034000054001808167,0.020200079306960106,-4.352982044219971,0.40800000727176666,0.030000156722962856,0.4679999351501465,0.6216011218118137,0.005728349233639189,0.4679999351501465,0.40800000727176666,0.030000156722962856,1.1470586441397148,0.06410290786330565,0.023850314957229068,flat_plate,-0.16428101062774658,0.01828938163816929,-4.612515449523926
3418,3417,Mesh.3417,3417,Mesh_1034.005,mesh,mesh_3418,1,8,joints_clamps_structural_connectors,0.27631986141204834,13,springs,0.10799727588891983,1567,1224,0.1996849775314331,,0.03500005602836609,0.3150000274181366,-4.822982311248779,0.07500004768371582,0.35500001907348633,-4.352982521057129,0.03999999165534973,0.03999999165534973,0.4699997901916504,0.4733918054265953,0.0007519993505479633,0.4699997901916504,0.03999999165534973,0.03999999165534973,11.749997206031694,0.08510640321571007,0.00708851492157718,flat_plate,0.05527665838599205,0.3351512849330902,-4.587808132171631
3419,3418,Mesh.3418,3418,Mesh_1033.005,mesh,mesh_3419,1,3,pins_rivets_keys,0.7881999611854553,4,bearings_bushings_guides,0.023570269346237183,1812,1224,0.34311240911483765,,-0.41499996185302734,-0.020999997854232788,-4.862982273101807,-0.375,0.7890000343322754,-4.822982311248779,0.039999961853027344,0.8100000321865082,0.039999961853027344,0.8119729343017731,0.0012959975795756654,0.8100000321865082,0.039999961853027344,0.039999961853027344,20.250020116586796,0.04938266699206386,0.002420914944285749,flat_plate,-0.3950704038143158,0.4179760217666626,-4.8430376052856445
3420,3419,Mesh.3419,3419,Mesh_1032.005,mesh,mesh_3420,1,3,pins_rivets_keys,0.7942659258842468,1,nuts,0.020216921344399452,1760,1224,0.3431108295917511,,0.03500005602836609,-0.020999997854232788,-4.352982044219971,0.07500004768371582,0.7890000343322754,-4.312982082366943,0.03999999165534973,0.8100000321865082,0.039999961853027344,0.8119729357699159,0.0012959985451700283,0.8100000321865082,0.03999999165534973,0.039999961853027344,20.25000502914295,0.04938266699206386,0.002420916734877751,flat_plate,0.055289238691329956,0.42726385593414307,-4.333035469055176
3421,3420,Mesh.3420,3420,Mesh_1031.005,mesh,mesh_3421,1,10,rotating_fluid_machinery,0.17080973088741302,8,joints_clamps_structural_connectors,0.14216047525405884,1591,1224,0.12628476321697235,,0.03500005602836609,0.018999993801116943,-4.592982292175293,0.07500004768371582,0.3149999976158142,-4.552982330322266,0.03999999165534973,0.29600000381469727,0.039999961853027344,0.30135692880531634,0.00047359945564278734,0.29600000381469727,0.03999999165534973,0.039999961853027344,7.400001639128074,0.13513500451867638,0.01730484249744737,long_slender,0.05498826503753662,0.1804889589548111,-4.573144912719727
3422,3421,Mesh.3421,3421,Mesh_1030.005,mesh,mesh_3422,1,3,pins_rivets_keys,0.204700767993927,13,springs,0.1600450724363327,1561,1224,0.17437466979026794,,-0.3749999701976776,0.749000072479248,-4.352982521057129,0.03500005602836609,0.7890000343322754,-4.312982559204102,0.4100000262260437,0.039999961853027344,0.039999961853027344,0.4138840603379693,0.0006559987907414834,0.4100000262260437,0.039999961853027344,0.039999961853027344,10.250010430822783,0.09756087632778424,0.00925266707307753,flat_plate,-0.1706548035144806,0.7691693902015686,-4.332986354827881
